PSize;OD;thk;BendAngle;BendRadius
DN15;21.336;1.651;90;19.05
DN20;26.67;1.651;90;28.575
DN25;33.401;1.651;90;38.1
DN32;42.164;1.651;90;47.625
DN40;48.26;1.651;90;57.15
DN50;60.325;1.651;90;76.2
DN65;73.025;2.1082;90;95.25
DN80;88.9;2.1082;90;114.3
DN90;101.6;2.1082;90;133.35
DN100;114.3;2.1082;90;152.4
DN125;141.3002;2.7686;90;190.5
DN150;168.275;2.7686;90;228.6
DN200;219.075;2.7686;90;304.8
DN250;273.05;3.4036;90;381
DN300;323.85;3.9624;90;457.2
DN350;355.6;3.9624;90;533.4
DN400;406.4;4.191;90;609.6
DN450;457.2;4.191;90;685.8
DN500;508;4.7752;90;762
DN550;558.8;4.7752;90;838.2
DN600;609.6;5.5372;90;914.4
