PSize;OD;thk;BendAngle;BendRadius
DN15;21.336;4.7752;45;19.05
DN20;26.67;5.5626;45;28.575
DN25;33.401;6.35;45;38.1
DN32;42.164;6.35;45;47.625
DN40;48.26;7.1374;45;57.15
DN50;60.325;8.7376;45;76.2
DN65;73.025;9.525;45;95.25
DN80;88.9;11.1252;45;114.3
DN100;114.3;13.4874;45;152.4
DN125;141.3002;15.875;45;190.5
DN150;168.275;18.2626;45;228.6
DN200;219.075;23.0124;45;304.8
DN250;273.05;28.575;45;381
DN300;323.85;33.3248;45;457.2
DN350;355.6;35.7124;45;533.4
DN400;406.4;40.4876;45;609.6
DN450;457.2;45.2374;45;685.8
DN500;508;50.0126;45;762
DN550;558.8;53.975;45;838.2
DN600;609.6;59.5376;45;914.4
