PSize;OD;thk;BendAngle;BendRadius
DN15;21.336;4.7752;45;12.7
DN20;26.67;5.5626;45;19.05
DN25;33.401;6.35;45;25.4
DN32;42.164;6.35;45;31.75
DN40;48.26;7.1374;45;38.1
DN50;60.325;8.7376;45;50.8
DN65;73.025;9.525;45;63.5
DN80;88.9;11.1252;45;76.2
DN100;114.3;13.4874;45;101.6
DN125;141.3002;15.875;45;127
DN150;168.275;18.2626;45;152.4
DN200;219.075;23.0124;45;203.2
DN250;273.05;28.575;45;254
DN300;323.85;33.3248;45;304.8
DN350;355.6;35.7124;45;355.6
DN400;406.4;40.4876;45;406.4
DN450;457.2;45.2374;45;457.2
DN500;508;50.0126;45;508
DN550;558.8;53.975;45;558.8
DN600;609.6;59.5376;45;609.6
